prompt_length,Mac M1_throughput_tok_s,WSL_Windows_throughput_tok_s,Colab_H100_throughput_tok_s
32,42.69933166412339,34.10666969196058,
64,41.529068336698955,35.045140018363995,357.47732282293566
128,38.42558634090978,32.703370255172054,333.91675390929595
256,34.12902634414915,31.599178273062403,335.1367461810408
512,41.799498736975245,30.200766570569602,321.5062636808824
1024,,,339.9801443630994
