prompt_length,Mac M1_per_token_ms,WSL_Windows_per_token_ms,Colab_H100_per_token_ms
32,21.923687356643356,27.538058779411767,
64,21.91642642907802,27.273265820143884,2.7423813682432434
128,22.99589085714286,28.792751864661653,2.8726564494382023
256,24.65849755147059,30.037973683453234,2.921556536184211
512,23.09469732638889,31.402582063380283,3.044191521311475
1024,,,2.8783865850340136
