prompt_length,regime,weight_frac,kv_frac,overhead_frac,predicted_ms,measured_ms
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,27.273265820143884
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,27.358776372262774
32,BANDWIDTH-BOUND,0.9354979841446041,0.06450201585539596,0.0,17.265812708203097,27.538058779411767
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,28.18592933333333
128,BANDWIDTH-BOUND,0.7838234134232356,0.21617658657676433,0.0,20.606851883385538,28.792751864661653
256,BANDWIDTH-BOUND,0.6444980293770531,0.3555019706229469,0.0,25.061570783628788,30.037973683453234
512,KV-BOUND,0.47546816112769036,0.5245318388723096,0.0,33.971008584115296,31.402582063380283
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,1.4239863888888888
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,20.746026174825175
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,1.4138478571428572
64,BANDWIDTH-BOUND,0.8788127877737002,0.1211872122262999,0.0,18.37949243326391,1.3884926546762588
